publisher
"Crowbar Collective,Crowbar Collective"
"RocketWerkz,RocketWerkz"
"Warner Bros. Interactive,Feral Interactive (Mac),Warner Bros. Interactive,Feral Interactive (Mac)"
"Evil Tortilla Games,Evil Tortilla Games"
"Smartly Dressed Games,Smartly Dressed Games"
"SEGA,SEGA"
"Allegorithmic,Allegorithmic"
"Elder Game, LLC,Elder Game, LLC"
"Asmodee Digital,Asmodee Digital"
"PlayStation Mobile, Inc.,PlayStation Mobile, Inc."
"Wolfdog Interactive,Wolfdog Interactive"
"New Blood Interactive,New Blood Interactive"
"Electronic Arts,Electronic Arts"
"Adult Swim Games,Adult Swim Games"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment"
"tinyBuild,tinyBuild"
"I-Illusions,I-Illusions"
"Paradox Interactive,Paradox Interactive"
"Scott Cawthon,Scott Cawthon"
"2K,2K"
"Wandering Wizard,Wandering Wizard"
"Runic Games,Runic Games"
"Disruptor Beam Inc.,Disruptor Beam Inc."
"Mixed Realms Pte Ltd,Mixed Realms Pte Ltd"
"The Quadsphere,The Quadsphere"
"Slitherine Ltd.,Slitherine Ltd."
"Fayju,Fayju"
"Neat Corporation,Neat Corporation"
"Kalypso Media Digital,Kalypso Media Digital"
"Electronic Arts,Aspyr (Mac),Electronic Arts,Aspyr (Mac)"
"Hyper Hippo Games,Hyper Hippo Games"
"Scott Cawthon,Scott Cawthon"
"Team Reptile,Team Reptile"
"505 Games,505 Games"
"Excalibur Games,Excalibur Games"
"LucasArts,Disney Interactive,Lucasfilm,Aspyr (Mac, Linux),LucasArts,Disney Interactive,Lucasfilm,Aspyr (Mac, Linux)"
"Activision,Activision"
"Electronic Arts,Electronic Arts"
"Survios,Survios"
"Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd"
"PixelTail Games,PixelTail Games"
"Beam Team Pty Ltd,Beam Team Pty Ltd"
"Bennett Foddy,Bennett Foddy"
"GrizzlyGames,GrizzlyGames"
"Erik Asmussen,Erik Asmussen"
"1047 Games,1047 Games"
"VertexBreakers,VertexBreakers"
"Daybreak Game Company,Daybreak Game Company"
"Electronic Arts,Electronic Arts"
"Deep Silver,Deep Silver"
"Humble Bundle,Humble Bundle"
"SEGA,SEGA"
"Amistech Games,Amistech Games"
